Sample_ID	Experiment	Flow cell	Plasmid	Total plasmids in sample	Linear	Nick	Txn	RnaseH	Co-SSB	Post-SSB	Co-RPA	Linearization post txn	Deprotienize post Co-RPA	Transcription_Date	T4_ligase_repair_date	PCR1_date	PCR cleaup method	Fwd_primer	Rev_primer
PBEH2-0	1	A	pFC9ΔNt.BspQI-13	1	BsaI-v2	-	-	-	+	-	-	-	-	8/25/23	8/28/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-0	PacBioRevV2-24-P9
PBEH2-1	1	A	pFC9ΔNt.BspQI-13	1	BsaI-v2	-	+	-	-	-	-	-	-	8/25/23	8/28/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-1	PacBioRevV2-24-P9
PBEH2-2	1	A	pFC9ΔNt.BspQI-13	1	BsaI-v2	-	+	+	-	-	-	-	-	8/25/23	8/28/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-2	PacBioRevV2-24-P9
PBEH2-3	1	A	pFC9ΔNt.BspQI-13	1	BsaI-v2	Nt.BspQI	-	-	+	-	-	-	-	8/25/23	8/28/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-3	PacBioRevV2-24-P9
PBEH2-4	1	A	pFC9ΔNt.BspQI-13	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-	8/25/23	8/28/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-4	PacBioRevV2-24-P9
PBEH2-5	1	A	pFC9ΔNt.BspQI-13	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-	8/25/23	8/28/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-5	PacBioRevV2-24-P9
PBEH2-6	1	A	pFC9ΔNt.BspQI-11	1	BsaI-v2	-	-	-	-	-	-	-	-	8/25/23	8/28/23	11/17/23	Gel extraction and column cleanup	PacBioFwdV2-0	PacBioRevV2-25-P9
PBEH2-7	1	A	pFC9ΔNt.BspQI-11	1	BsaI-v2	-	-	-	+	-	-	-	-	8/25/23	8/28/23	11/17/23	Gel extraction and column cleanup	PacBioFwdV2-1	PacBioRevV2-25-P9
PBEH2-8	1	A	pFC9ΔNt.BspQI-11	1	BsaI-v2	-	+	-	-	-	-	-	-	8/25/23	8/28/23	11/17/23	Gel extraction and column cleanup	PacBioFwdV2-2	PacBioRevV2-25-P9
PBEH2-9	1	A	pFC9ΔNt.BspQI-11	1	BsaI-v2	Nt.BspQI	-	-	+	-	-	-	-	8/25/23	8/28/23	11/17/23	Gel extraction and column cleanup	PacBioFwdV2-3	PacBioRevV2-25-P9
PBEH2-10	1	A	pFC9ΔNt.BspQI-11	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-	8/25/23	8/28/23	11/17/23	Gel extraction and column cleanup	PacBioFwdV2-4	PacBioRevV2-25-P9
PBEH2-11	1	A	pFC9ΔNt.BspQI-11	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-	8/25/23	8/28/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-5	PacBioRevV2-25-P9
PBEH2-12	1	A	pFC9ΔNt.BspQI-8	1	BsaI-v2	-	-	-	+	-	-	-	-	8/25/23	8/28/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-0	PacBioRevV2-26-P9
PBEH2-13	1	A	pFC9ΔNt.BspQI-8	1	BsaI-v2	-	+	-	-	-	-	-	-	8/25/23	8/28/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-1	PacBioRevV2-26-P9
PBEH2-14	1	A	pFC9ΔNt.BspQI-8	1	BsaI-v2	-	+	+	-	-	-	-	-	8/25/23	8/28/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-2	PacBioRevV2-26-P9
PBEH2-15	1	A	pFC9ΔNt.BspQI-8	1	BsaI-v2	Nt.BspQI	-	-	+	-	-	-	-	8/25/23	8/28/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-3	PacBioRevV2-26-P9
PBEH2-16	1	A	pFC9ΔNt.BspQI-8	1	BsaI-v2	Nt.BspQI	+	-	-	-	-	-	-	8/25/23	8/28/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-4	PacBioRevV2-26-P9
PBEH2-17	1	A	pFC9ΔNt.BspQI-8	1	BsaI-v2	Nt.BspQI	+	+	-	-	-	-	-	8/25/23	8/28/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-5	PacBioRevV2-26-P9
PBEH2-18	2	B	pFC9ΔNt.BspQI-13	1	BsaI-v2	Nt.BspQI	-	-	+	-	-	-	-		11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-6	PacBioRevV2-24-P9
PBEH2-19	2	B	pFC9ΔNt.BspQI-13	1	BsaI-v2	Nt.BspQI	+	-	+	-	-	-	-		11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-7	PacBioRevV2-24-P9
PBEH2-20	2	B	pFC9ΔNt.BspQI-13	1	BsaI-v2	Nt.BspQI	+	-	-	+	-	-	-		11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-8	PacBioRevV2-24-P9
PBEH2-21	2	B	pFC9ΔNt.BspQI-13	1	BsaI-v2	Nt.BspQI	+	+	+	-	-	-	-		11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-9	PacBioRevV2-24-P9
PBEH2-22	2	B	pFC9ΔNt.BspQI-11	1	BsaI-v2	Nt.BspQI	-	-	+	-	-	-	-			11/17/23	Gel Extraction and column cleanup	PacBioFwdV2-6	PacBioRevV2-25-P9
PBEH2-23	2	B	pFC9ΔNt.BspQI-11	1	BsaI-v2	Nt.BspQI	+	-	+	-	-	-	-			11/17/23	Gel Extraction and column cleanup	PacBioFwdV2-7	PacBioRevV2-25-P9
PBEH2-24	2	B	pFC9ΔNt.BspQI-11	1	BsaI-v2	Nt.BspQI	+	-	-	+	-	-	-			11/17/23	Gel Extraction and column cleanup	PacBioFwdV2-8	PacBioRevV2-25-P9
PBEH2-25	2	B	pFC9ΔNt.BspQI-11	1	BsaI-v2	Nt.BspQI	+	+	+	-	-	-	-			11/17/23	Gel Extraction and column cleanup	PacBioFwdV2-9	PacBioRevV2-25-P9
PBEH2-26	2	B	pFC9ΔNt.BspQI-8	1	BsaI-v2	Nt.BspQI	-	-	+	-	-	-	-			11/17/23	Gel Extraction and column cleanup	PacBioFwdV2-6	PacBioRevV2-26-P9
PBEH2-27	2	B	pFC9ΔNt.BspQI-8	1	BsaI-v2	Nt.BspQI	+	-	+	-	-	-	-			11/17/23	Gel Extraction and column cleanup	PacBioFwdV2-7	PacBioRevV2-26-P9
PBEH2-28	2	B	pFC9ΔNt.BspQI-8	1	BsaI-v2	Nt.BspQI	+	-	-	+	-	-	-			11/17/23	Gel Extraction and column cleanup	PacBioFwdV2-8	PacBioRevV2-26-P9
PBEH2-29	2	B	pFC9ΔNt.BspQI-8	1	BsaI-v2	Nt.BspQI	+	+	+	-	-	-	-			11/17/23	Gel Extraction and column cleanup	PacBioFwdV2-9	PacBioRevV2-26-P9
PBEH2-30	3	B	VR20F Mix	9	-	-	-	-	-	-	-	-	-		11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-4	PacBioRevV2-0
PBEH2-31	3	B	VR20F Mix	9	-	-	+	-	-	-	-	-	-		11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-5	PacBioRevV2-0
PBEH2-32	3	B	VR20F Mix	9	-	-	+	+	-	-	-	-	-		11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-0	PacBioRevV2-0
PBEH2-33	3	B	VR20F Mix	9	PsiI-v2	-	-	-	-	-	-	-	-		11/7/23	11/9/23	Gel extraction and electro-elution	PacBioFwdV2-1	PacBioRevV2-18-AplI
PBEH2-34	3	B	VR20F Mix	9	PsiI-v2	-	+	-	-	-	-	-	-		11/7/23	11/9/23	Gel extraction and electro-elution	PacBioFwdV2-2	PacBioRevV2-18-AplI
PBEH2-35	3	B	VR20F Mix	9	PsiI-v2	-	+	+	-	-	-	-	-		11/7/23	11/9/23	Gel extraction and electro-elution	PacBioFwdV2-3	PacBioRevV2-18-AplI
PBEH2-36	4	A	VR10, VR20 and pFC9 mix	3	ApaLI	-	-	-	-	-	-	-	-		11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-4	PacBioRevV2-15-AplI
PBEH2-37	4	A	VR10, VR20 and pFC9 mix	3	ApaLI	-	+	-	-	-	-	-	-		11/7/23	11/9/23	Gel extraction and electro-elution	PacBioFwdV2-5	PacBioRevV2-15-AplI
PBEH2-38	4	A	VR10, VR20 and pFC9 mix	3	ApaLI	-	+	+	-	-	-	-	-		11/7/23	11/9/23	Gel extraction and electro-elution	PacBioFwdV2-6	PacBioRevV2-15-AplI
PBEH2-39	4	A	VR10, VR20 and pFC9 mix	3	ApaLI	-	-	-	-	-	+	-	-		11/7/23	11/9/23	Gel extraction and electro-elution	PacBioFwdV2-7	PacBioRevV2-15-AplI
PBEH2-40	4	A	VR10, VR20 and pFC9 mix	3	ApaLI	-	+	-	-	-	+	-	-		11/7/23	11/9/23	Gel extraction and electro-elution	PacBioFwdV2-8	PacBioRevV2-15-AplI
PBEH2-41	4	A	VR10, VR20 and pFC9 mix	3	ApaLI	-	+	+	-	-	+	-	-		11/7/23	11/9/23	Gel extraction and electro-elution	PacBioFwdV2-9	PacBioRevV2-15-AplI
PBEH2-42	4	A	VR10, VR20 and pFC9 mix	3	ApaLI	-	-	-	-	-	+	-	+		11/7/23	11/17/23	Gel Extraction and column cleanup	PacBioFwdV2-6	PacBioRevV2-16-AplI
PBEH2-43	4	A	VR10, VR20 and pFC9 mix	3	ApaLI	-	+	-	-	-	+	-	+		11/7/23	11/17/23	Gel Extraction and column cleanup	PacBioFwdV2-7	PacBioRevV2-16-AplI
PBEH2-44	4	A	VR10, VR20 and pFC9 mix	3	ApaLI	-	+	+	-	-	+	-	+		11/7/23	11/17/23	Gel Extraction and column cleanup	PacBioFwdV2-8	PacBioRevV2-16-AplI
PBEH2-45	5	A	T7init VR-10	1	-	-	-	-	+	-	-	-	-	9/18/23	11/7/23	11/13/23	Gel extraction and electro-elution	PacBioFwdV2-9	PacBioRevV2-2
PBEH2-46	5	A	T7init VR-10	1	-	-	+	-	+	-	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-6	PacBioRevV2-3
PBEH2-47	5	A	T7init VR-10	1	-	-	+	-	-	+	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-7	PacBioRevV2-3
PBEH2-48	5	A	T7init VR-10	1	-	-	+	+	+	-	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-8	PacBioRevV2-3
PBEH2-49	5	A	T7init VR-20	1	-	-	-	-	+	-	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-9	PacBioRevV2-3
PBEH2-50	5	A	T7init VR-20	1	-	-	+	-	+	-	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-1	PacBioRevV2-4
PBEH2-51	5	A	T7init VR-20	1	-	-	+	-	-	+	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-2	PacBioRevV2-4
PBEH2-52	5	A	T7init VR-20	1	-	-	+	+	+	-	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-3	PacBioRevV2-4
PBEH2-53	5	A	pFC9	1	-	-	-	-	+	-	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-6	PacBioRevV2-27-P9
PBEH2-54	5	A	pFC9	1	-	-	+	-	+	-	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-7	PacBioRevV2-27-P9
PBEH2-55	5	A	pFC9	1	-	-	+	-	-	+	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-8	PacBioRevV2-27-P9
PBEH2-56	5	A	pFC9	1	-	-	+	+	+	-	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-2	PacBioRevV2-27-P9
PBEH2-57	5	A	pFC53	1	-	-	-	-	+	-	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-3	PacBioRevV2-27-P9
PBEH2-58	5	A	pFC53	1	-	-	+	-	+	-	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-4	PacBioRevV2-27-P9
PBEH2-59	5	A	pFC53	1	-	-	+	-	-	+	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-5	PacBioRevV2-27-P9
